timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084945512,-403984696,1803288901,134,81,168746,18,0,2305,8.298,7.23065799,2522,,,44,134
1084945514,-403985107,1803288560,134,81,169211,18,0,2305,8.298,7.23065799,2520,,,44,134
1084945523,-403986680,1803286866,137,81,171178,18,0,2305,8.298,7.23065799,2522,0,,72,137
1084945524,-403986867,1803286699,138,81,171395,18,0,2305,8.298,7.23065799,2523,0,,57,138
1084945527,-403987422,1803286163,140,82,172057,18,0,2305,8.298,7.23065799,2523,0,,57,140
1084945529,-403987741,1803285740,141,82,172499,18,0,2305,8.298,7.23065799,2518,894,,72,141
1084945536,-403988691,1803284200,141,81,173986,18,0,2295,8.262,7.262164125,2510,0,,72,141
1084945540,-403989269,1803283264,142,81,174889,18,0,2277,8.1972,7.319572537,2510,0,,72,142
1084945550,-403990429,1803280781,143,78,177097,18,0,2267,8.1612,7.351860021,2506,0,,147,143
1084945551,-403990528,1803280523,143,78,177317,18,0,2267,8.1612,7.351860021,2505,0,,147,143
1084945552,-403990622,1803280269,143,78,177532,18,0,2267,8.1612,7.351860021,2504,0,,147,143
1084945559,-403991323,1803278418,142,78,179112,18,64,2267,8.1612,7.351860021,2511,0,,129,142
1084945564,-403991593,1803277130,141,78,180142,18,0,2258,8.1288,7.381163271,2507,894,,88,141
1084945565,-403991625,1803276886,141,78,180334,18,0,2258,8.1288,7.381163271,2505,894,,88,141
1084945575,-403992256,1803274294,141,79,182431,18,64,2230,8.028,7.473841555,2506,0,,88,141
1084945576,-403992312,1803274032,141,79,182640,18,64,2230,8.028,7.473841555,2506,0,,88,141
1084945586,-403992872,1803271256,142,79,184855,18,0,2211,7.9596,7.53806724,2505,0,,72,142
1084945587,-403992940,1803270974,142,78,185082,18,0,2211,7.9596,7.53806724,2505,0,,72,142
1084945597,-403993464,1803268262,141,80,187241,18,0,2211,7.9596,7.53806724,2502,,,32,141
1084945598,-403993493,1803267991,141,80,187453,18,0,2211,7.9596,7.53806724,2503,0,,32,141
1084945606,-403993880,1803265719,141,79,189250,18,64,2202,7.9272,7.568876779,2503,894,,18,141
1084945614,-403994212,1803263444,142,78,191041,18,0,2211,7.9596,7.53806724,2500,0,,12,142
1084945619,-403994285,1803261991,143,78,192171,18,0,2202,7.9272,7.568876779,2502,888,,7,143
1084945629,-403994153,1803259208,144,79,194333,18,64,2202,7.9272,7.568876779,2501,0,,12,144
1084945631,-403994103,1803258621,144,79,194791,18,64,2202,7.9272,7.568876779,2501,894,,12,144
1084945638,-403993855,1803256589,145,80,196386,18,0,2211,7.9596,7.53806724,2499,894,,18,145
1084945642,-403993848,1803255446,145,79,197272,18,64,2221,7.9956,7.50412727,2500,894,,18,145
1084945652,-403993647,1803252619,143,79,199476,18,64,2221,7.9956,7.50412727,2499,0,,18,143
1084945655,-403993589,1803251773,142,79,200134,18,64,2221,7.9956,7.50412727,2499,0,,18,142
1084945664,-403993495,1803249095,142,80,202212,18,0,2211,7.9596,7.53806724,2499,0,,32,142
1084945673,-403993371,1803246464,141,79,204271,18,64,2230,8.028,7.473841555,2499,0,,25,141
1084945674,-403993336,1803246173,141,79,204498,18,64,2230,8.028,7.473841555,2499,0,,25,141
1084945681,-403993285,1803244184,140,80,206042,18,0,2239,8.0604,7.443799315,2501,0,,18,140
1084945690,-403993374,1803241489,141,79,208135,18,64,2239,8.0604,7.443799315,2502,,,25,141
1084945691,-403993393,1803241217,142,79,208346,18,64,2239,8.0604,7.443799315,2502,,,32,142
1084945701,-403993815,1803238626,143,78,210392,18,0,2230,8.028,7.473841555,2498,,,44,143
1084945704,-403993935,1803237835,143,79,211016,18,64,2221,7.9956,7.50412727,2497,0,,44,143
1084945710,-403994130,1803236251,140,79,212260,18,64,2202,7.9272,7.568876779,2497,0,,32,140
1084945714,-403994280,1803235121,140,79,213148,18,64,2193,7.8948,7.5999392,2496,0,,32,140
1084945720,-403994996,1803233609,140,79,214522,18,64,2193,7.8948,7.5999392,2495,0,,32,140
1084945730,-403996490,1803231446,141,78,216715,18,0,2202,7.9272,7.568876779,2496,0,,25,141
1084945731,-403996653,1803231236,141,78,216937,18,0,2202,7.9272,7.568876779,2497,0,,25,141
1084945740,-403998118,1803229524,138,79,218839,18,64,2193,7.8948,7.5999392,2497,0,,25,138
1084945741,-403998303,1803229344,138,78,219061,18,0,2193,7.8948,7.5999392,2497,0,,25,138
